country_of_origin,region,variety,processing_method,color,harvest_year,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Ethiopia,guji-hambela,NA,Washed / Wet,Green,2014,2075,8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,90.58
Ethiopia,guji-hambela,Other,Washed / Wet,Green,2014,2075,8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,89.92
Guatemala,NA,Bourbon,NA,NA,NA,1700,8.42,8.5,8.42,8.42,8.33,8.42,10,10,10,9.25,89.75
Ethiopia,oromia,NA,Natural / Dry,Green,2014,2000,8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,89
Ethiopia,guji-hambela,Other,Washed / Wet,Green,2014,2075,8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,88.83
Brazil,NA,NA,Natural / Dry,Bluish-Green,2013,NA,8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,88.83
Ethiopia,oromia,NA,NA,NA,March 2010,1635,8.25,8.33,8.5,8.42,8.33,8.5,10,10,9.33,9,88.67
Ethiopia,oromiya,NA,NA,NA,March 2010,1635,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10,9.33,8.67,88.42
Ethiopia,"snnp/kaffa zone,gimbowereda",Other,Natural / Dry,Green,2014,1822.5,8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,88.25
Ethiopia,oromia,NA,Natural / Dry,NA,2014,1905,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08
United States (Hawaii),kona,NA,NA,NA,Sept 2009 - April 2010,609.6,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92
Ethiopia,oromiya,NA,NA,NA,March 2010,1635,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83
Ethiopia,yirgacheffe,NA,NA,NA,2009/2010,NA,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33
Ethiopia,gedio,Ethiopian Yirgacheffe,Natural / Dry,NA,2014,1850,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25
Costa Rica,san ramon,Caturra,Washed / Wet,Green,2014,1300,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17
Mexico,xalapa,Other,Washed / Wet,Green,2012,1320,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17
Ethiopia,sidamo,NA,Natural / Dry,Bluish-Green,2013,NA,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08
Brazil,south of minas,Bourbon,Natural / Dry,Green,2011,1250,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92
Ethiopia,sidamo,NA,NA,NA,2009/2010,NA,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92
Honduras,comayagua,Caturra,NA,Green,2016,1400,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67
Taiwan,"leye, alishan township, chiayi county",Sumatra,Pulped natural / honey,Green,2015,1200,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58
"Tanzania, United Republic Of",NA,NA,Natural / Dry,Bluish-Green,2012,NA,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5
Brazil,vale da grama,Bourbon,Natural / Dry,Green,2011,1300,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42
Costa Rica,west and central valley,Caturra,Washed / Wet,Blue-Green,2015/2016,1300,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33
